"country","year","life_expectancy_at_birth_SEX_MLE","life_expectancy_at_birth_SEX_BTSX","life_expectancy_at_birth_SEX_FMLE","bcg_immunization_coverage","dtp_immunization_coverage","hepb3_immunization_coverage","hib3_immunization_coverage","hpv_immunization_coverage","mcv1_immunization_coverage","mcv2_immunization_coverage","pab_immunization_coverage","pcv3_immunization_coverage","pol3_immunization_coverage","rotac_immunization_coverage","che_%_of_gdp","ext_%_of_che","gghe-d_%_of_che","oop_%_of_che","pvt-d_%_of_che","alc_consump_per_capita_liters_SEX_MLE","alc_consump_per_capita_liters_SEX_FMLE","alc_consump_per_capita_liters_SEX_BTSX","alc_expenditure_%_of_household","preterm_birth_rate_per_100","low_birth_weight_prevalence","pregnant_women_anaemia_prevalence_SEX_FMLE","pregnant_women_anaemia_prevalence_SEVERITY_MODERATE","pregnant_women_anaemia_prevalence_SEVERITY_MILD","pregnant_women_anaemia_prevalence_SEVERITY_TOTAL","pregnant_women_anaemia_prevalence_SEVERITY_SEVERE","pregnant_women_mean_hemoglobin","children_anaemia_prevalence_SEX_BTSX","children_anaemia_prevalence_SEVERITY_MILD","children_anaemia_prevalence_SEVERITY_MODERATE","children_anaemia_prevalence_SEVERITY_TOTAL","children_anaemia_prevalence_SEVERITY_SEVERE","children_mean_hemoglobin","thin_children_prevalence_SEX_FMLE_AGEGROUP_YEARS05-09","thin_children_prevalence_SEX_BTSX_AGEGROUP_YEARS05-19","thin_children_prevalence_SEX_MLE_AGEGROUP_YEARS05-19","thin_children_prevalence_SEX_FMLE_AGEGROUP_YEARS05-19","thin_children_prevalence_SEX_MLE_AGEGROUP_YEARS05-09","thin_children_prevalence_SEX_MLE_AGEGROUP_YEARS10-19","thin_children_prevalence_SEX_BTSX_AGEGROUP_YEARS10-19","thin_children_prevalence_SEX_FMLE_AGEGROUP_YEARS10-19","thin_children_prevalence_SEX_BTSX_AGEGROUP_YEARS05-09","overweight_children_prevalence_SEX_MLE_AGEGROUP_YEARS05-09","overweight_children_prevalence_SEX_FMLE_AGEGROUP_YEARS10-19","overweight_children_prevalence_SEX_MLE_AGEGROUP_YEARS05-19","overweight_children_prevalence_SEX_MLE_AGEGROUP_YEARS10-19","overweight_children_prevalence_SEX_BTSX_AGEGROUP_YEARS05-19","overweight_children_prevalence_SEX_FMLE_AGEGROUP_YEARS05-09","overweight_children_prevalence_SEX_BTSX_AGEGROUP_YEARS05-09","overweight_children_prevalence_SEX_FMLE_AGEGROUP_YEARS05-19","overweight_children_prevalence_SEX_BTSX_AGEGROUP_YEARS10-19","obese_children_prevalence_SEX_BTSX_AGEGROUP_YEARS05-09","obese_children_prevalence_SEX_FMLE_AGEGROUP_YEARS05-19","obese_children_prevalence_SEX_MLE_AGEGROUP_YEARS05-09","obese_children_prevalence_SEX_FMLE_AGEGROUP_YEARS05-09","obese_children_prevalence_SEX_FMLE_AGEGROUP_YEARS10-19","obese_children_prevalence_SEX_BTSX_AGEGROUP_YEARS05-19","obese_children_prevalence_SEX_MLE_AGEGROUP_YEARS05-19","obese_children_prevalence_SEX_MLE_AGEGROUP_YEARS10-19","obese_children_prevalence_SEX_BTSX_AGEGROUP_YEARS10-19","underweight_adults_prevalence_SEX_FMLE","underweight_adults_prevalence_SEX_BTSX","underweight_adults_prevalence_SEX_MLE","overweight_adults_prevalence_SEX_BTSX","overweight_adults_prevalence_SEX_MLE","overweight_adults_prevalence_SEX_FMLE","obese_adults_prevalence_SEX_BTSX","obese_adults_prevalence_SEX_MLE","obese_adults_prevalence_SEX_FMLE"
"URY",2015,73.3111,77.09925,80.68099,98,95,95,95,26,96,93,NA,94,95,NA,8.29,0.02,68.4,16.92,31.58,9.62752,2.75507,6.02212,NA,9.19379,7.9,25,9.7,14.6,25,0.7,118,24.3,18.3,5.9,24.3,0.1,118,0.70467,1.24195,1.53211,0.9389,0.95359,1.80404,1.43422,1.04852,0.83201,43.63155,30.79794,35.71128,31.98857,34.42979,37.99182,40.87704,33.09139,31.40578,17.40024,10.94834,19.25924,15.45303,8.8401,12.51011,14.00549,11.5361,10.21645,2.56629,2.33108,2.06928,63.19077,64.68967,61.84411,28.54513,25.04718,31.68782
"DNK",2020,79.56241,81.36822,83.16167,NA,97,NA,97,82,94,90,NA,96,97,NA,10.56,0,84.76,12.93,15.24,14.76697,4.33033,9.48878,NA,5.97991,4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.27382,2.47638,2.81378,2.12187,1.76516,3.27937,2.89851,2.49835,1.52558,24.32414,14.36876,23.41874,23.01673,19.41408,17.09284,20.79813,15.20628,18.7996,5.63114,3.59578,6.94245,4.25315,3.30395,5.429,7.17372,7.27641,5.33926,3.01716,2.1488,1.25757,48.22626,58.05185,38.65292,14.13622,16.37271,11.95713
"PRI",2020,76.1409,79.93443,83.64716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.45571,3.95696,4.60103,3.28588,3.88658,4.90548,4.07585,3.21433,3.67642,39.93932,36.67403,36.71055,35.33467,36.38846,34.57862,37.32464,36.05286,35.99172,22.93765,21.96178,22.91279,22.96376,21.53959,20.1757,18.46151,16.56467,19.00522,3.06222,2.62009,2.11165,74.07697,71.20192,76.5771,39.84743,33.71902,45.17663
"GHA",2005,58.29583,60.0663,61.90681,99,84,84,84,NA,83,NA,83,NA,85,NA,3.63,15.16,40.35,37.13,44.49,8.26821,2.04804,5.10609,NA,NA,15.6,55.1,26.8,25.2,55.1,3.1,107,74.8,23.6,45.4,74.8,5.9,98,8.61819,8.49163,10.72816,6.20105,10.76259,10.70902,7.8174,4.85355,9.70243,9.86175,10.80636,6.55739,4.71939,9.00853,12.79702,11.31291,11.51889,7.72533,5.30002,3.40877,5.04127,5.56466,2.20692,2.88748,2.37848,0.89735,1.54406,8.842,10.30579,11.83078,23.21833,14.98722,31.11909,6.97545,2.75776,11.02387
"TON",2019,70.37704,72.94213,75.59968,99,99,99,99,NA,99,99,NA,NA,99,NA,4.75,29.65,60.93,5.4,9.42,0.64225,0.12768,0.37713,NA,NA,NA,36.5,14.7,21,36.5,0.7,115,34,21.7,11.9,34,0.4,114,0.27371,0.43914,0.65288,0.21329,0.92442,0.50076,0.34417,0.18043,0.61112,47.58408,65.18883,53.01254,56.05354,54.62713,40.05216,43.9577,56.33329,60.51917,26.35934,30.12669,28.29733,24.27215,33.31105,29.31752,28.55178,28.69433,30.95114,0.25004,0.26425,0.27957,88.88431,84.67745,92.78387,67.99006,58.38979,76.88904
"JOR",2009,76.9149,76.34652,76.55739,95,98,98,98,NA,95,90,87,NA,98,NA,9.22,3.86,67.08,22.71,29.06,0.8789,0.12428,0.51446,NA,NA,16.3,31.3,12.2,18.6,31.3,0.5,117,30.6,18.6,11.7,30.6,0.2,116,4.0911,4.19353,5.00047,3.3515,4.78099,5.11662,4.0613,2.95956,4.44323,27.25159,26.20052,26.83014,26.60712,26.72466,27.39593,27.32226,26.61458,26.4082,13.20696,10.17073,14.08099,12.29578,9.04461,11.16526,12.11835,11.07976,10.08408,2.3009,2.52793,2.73943,65.10706,62.43588,67.97447,31.49692,26.25243,37.12671
"TUR",2012,73.77355,76.83622,79.72556,96,97,97,97,NA,96,85,90,97,97,NA,4.44,NA,79.17,15.93,20.83,3.66707,0.51107,2.08326,NA,11.0106,14,NA,11.9,18.1,30.7,0.6,116,NA,18.7,8.7,27.6,0.2,117,2.09162,2.30506,2.54855,2.04871,1.82719,2.88777,2.46913,2.02855,1.95595,24.18618,22.83509,23.49725,23.17329,22.97495,21.5521,22.90355,22.42507,23.00851,8.32836,6.34227,10.07517,6.48782,6.27391,7.18385,7.98321,6.99949,6.64597,2.75028,2.31048,1.86552,63.75834,61.31052,66.17785,28.65079,21.16459,36.05038
"BRA",2003,68.87851,72.30491,75.84908,99,99,97,94,NA,97,74,76,NA,99,NA,8.19,0.2,42.86,35.47,56.95,13.39653,3.64169,8.41279,NA,NA,8.1,25.6,10.1,14.8,25.6,0.7,119,23.7,14.6,8.5,23.7,0.5,119,3.04689,3.66675,4.3307,2.98299,3.99981,4.49306,3.73291,2.95185,3.53144,27.90034,17.4488,20.87497,17.42804,20.25593,24.07065,26.01799,19.61843,17.43828,10.58471,5.49154,12.2063,8.90713,3.82707,6.36974,7.22252,4.77727,4.30862,5.20615,4.31434,3.37709,42.85398,42.27315,43.40664,13.02587,10.2942,15.6251
"FJI",2006,64.9557,67.0807,69.56019,99,98,99,99,NA,92,94,93,NA,98,NA,3.35,4.67,73.94,14.35,21.39,4.68284,0.94545,2.84049,NA,NA,7.4,45.1,20.9,22,45.1,2.1,111,40,23.4,16.2,40,0.4,113,4.69961,7.89248,10.29029,5.34815,11.10093,9.87184,7.83365,5.67918,8.00706,15.46864,22.85278,15.79943,15.97019,16.65236,7.18289,11.464,17.55739,19.31604,5.02023,4.25625,7.34078,2.53948,5.13253,5.18905,6.06813,5.41118,5.27572,4.5035,5.18929,5.85754,54.9243,46.61853,63.4481,23.73976,16.00122,31.68146
"NIC",2020,71.71241,75.04233,78.45329,93,92,92,92,NA,97,98,90,92,93,92,8.65,4.27,61.84,32.27,33.89,6.0452,1.4266,3.67349,NA,5.80033,10.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.35325,2.18397,3.07908,1.26446,2.54172,3.36159,2.30352,1.21795,1.95617,35.96725,32.02998,32.51918,30.70639,31.94004,30.03783,33.04585,31.34512,31.35969,14.33939,10.16356,16.66008,11.94989,9.22775,11.98528,13.75866,12.23327,10.74979,2.51194,3.00877,3.53693,64.34893,59.84224,68.58829,30.90833,25.73632,35.77353
