"country","year","life_expectancy_at_birth_SEX_MLE","life_expectancy_at_birth_SEX_BTSX","life_expectancy_at_birth_SEX_FMLE","bcg_immunization_coverage","dtp_immunization_coverage","hepb3_immunization_coverage","hib3_immunization_coverage","hpv_immunization_coverage","mcv1_immunization_coverage","mcv2_immunization_coverage","pab_immunization_coverage","pcv3_immunization_coverage","pol3_immunization_coverage","rotac_immunization_coverage","che_%_of_gdp","ext_%_of_che","gghe-d_%_of_che","oop_%_of_che","pvt-d_%_of_che","alc_consump_per_capita_liters_SEX_MLE","alc_consump_per_capita_liters_SEX_FMLE","alc_consump_per_capita_liters_SEX_BTSX","alc_expenditure_%_of_household","preterm_birth_rate_per_100","low_birth_weight_prevalence","pregnant_women_anaemia_prevalence_SEX_FMLE","pregnant_women_anaemia_prevalence_SEVERITY_MODERATE","pregnant_women_anaemia_prevalence_SEVERITY_MILD","pregnant_women_anaemia_prevalence_SEVERITY_TOTAL","pregnant_women_anaemia_prevalence_SEVERITY_SEVERE","pregnant_women_mean_hemoglobin","children_anaemia_prevalence_SEX_BTSX","children_anaemia_prevalence_SEVERITY_MILD","children_anaemia_prevalence_SEVERITY_MODERATE","children_anaemia_prevalence_SEVERITY_TOTAL","children_anaemia_prevalence_SEVERITY_SEVERE","children_mean_hemoglobin","thin_children_prevalence_SEX_FMLE_AGEGROUP_YEARS05-09","thin_children_prevalence_SEX_BTSX_AGEGROUP_YEARS05-19","thin_children_prevalence_SEX_MLE_AGEGROUP_YEARS05-19","thin_children_prevalence_SEX_FMLE_AGEGROUP_YEARS05-19","thin_children_prevalence_SEX_MLE_AGEGROUP_YEARS05-09","thin_children_prevalence_SEX_MLE_AGEGROUP_YEARS10-19","thin_children_prevalence_SEX_BTSX_AGEGROUP_YEARS10-19","thin_children_prevalence_SEX_FMLE_AGEGROUP_YEARS10-19","thin_children_prevalence_SEX_BTSX_AGEGROUP_YEARS05-09","overweight_children_prevalence_SEX_MLE_AGEGROUP_YEARS05-09","overweight_children_prevalence_SEX_FMLE_AGEGROUP_YEARS10-19","overweight_children_prevalence_SEX_MLE_AGEGROUP_YEARS05-19","overweight_children_prevalence_SEX_MLE_AGEGROUP_YEARS10-19","overweight_children_prevalence_SEX_BTSX_AGEGROUP_YEARS05-19","overweight_children_prevalence_SEX_FMLE_AGEGROUP_YEARS05-09","overweight_children_prevalence_SEX_BTSX_AGEGROUP_YEARS05-09","overweight_children_prevalence_SEX_FMLE_AGEGROUP_YEARS05-19","overweight_children_prevalence_SEX_BTSX_AGEGROUP_YEARS10-19","obese_children_prevalence_SEX_BTSX_AGEGROUP_YEARS05-09","obese_children_prevalence_SEX_FMLE_AGEGROUP_YEARS05-19","obese_children_prevalence_SEX_MLE_AGEGROUP_YEARS05-09","obese_children_prevalence_SEX_FMLE_AGEGROUP_YEARS05-09","obese_children_prevalence_SEX_FMLE_AGEGROUP_YEARS10-19","obese_children_prevalence_SEX_BTSX_AGEGROUP_YEARS05-19","obese_children_prevalence_SEX_MLE_AGEGROUP_YEARS05-19","obese_children_prevalence_SEX_MLE_AGEGROUP_YEARS10-19","obese_children_prevalence_SEX_BTSX_AGEGROUP_YEARS10-19","underweight_adults_prevalence_SEX_FMLE","underweight_adults_prevalence_SEX_BTSX","underweight_adults_prevalence_SEX_MLE","overweight_adults_prevalence_SEX_BTSX","overweight_adults_prevalence_SEX_MLE","overweight_adults_prevalence_SEX_FMLE","obese_adults_prevalence_SEX_BTSX","obese_adults_prevalence_SEX_MLE","obese_adults_prevalence_SEX_FMLE"
"SEN",2000,57.0506,58.60971,60.14805,89,52,NA,NA,NA,48,NA,62,NA,49,NA,3.55,3.98,35.29,55.67,60.73,0.83768,0.13068,0.47277,NA,NA,22.1,59.9,32.4,22.6,59.9,4.9,104,82.7,20.3,52.8,82.7,9.6,94,11.31876,17.6793,23.83613,11.45477,19.81376,26.19702,18.8919,11.53379,15.60298,3.70531,5.41571,2.45165,1.71583,3.75842,4.50107,4.09975,5.07957,3.55909,1.01931,0.86735,0.89591,1.14487,0.7061,0.68578,0.50617,0.27742,0.49099,15.98648,20.01466,24.34052,14.81134,7.22804,21.87277,3.75294,0.93957,6.37271
"SYC",2020,75.28529,77.26435,80.51679,99,97,97,97,23,97,99,100,94,97,98,6.54,0.32,78.16,20.24,21.53,15.67187,3.94864,10.19,NA,NA,12.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.91993,5.92014,6.39534,5.42233,6.18139,6.51414,5.84563,5.13845,6.05257,31.06358,35.05798,29.82894,29.14335,31.67894,31.09126,31.07722,33.61699,32.01752,16.67627,16.70747,17.48675,15.8418,17.20135,16.33652,15.98242,15.14708,16.14534,2.60563,3.95085,5.12937,61.31695,53.06391,70.73737,29.10129,19.64347,39.8969
"BLZ",2021,71.36484,73.32055,75.44019,84,83,83,83,5,79,77,93,NA,83,NA,4.98,2.87,68.81,22.76,28.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.40364,2.97257,2.67296,3.28344,2.26451,2.87802,3.04825,3.22399,2.82074,46.27815,43.45622,43.29035,41.79037,42.95766,40.90651,43.65523,42.61248,42.61002,24.41006,21.19461,25.65131,23.10929,20.24765,21.19148,21.18847,18.94797,19.58746,2.42901,2.36771,2.30622,71.31324,64.12578,78.479,41.09466,31.4465,50.71366
"PAK",2010,63.32109,64.1482,65.03587,74,52,52,52,NA,57,34,84,NA,52,NA,2.4,5.56,21.78,67.87,72.65,0.13419,0.02126,0.0792,NA,14.27163,NA,47.4,22,23.2,47.4,2.2,110,59,24.6,30.5,59,3.9,104,16.40779,20.4804,24.02164,16.69889,19.29607,26.65362,21.91941,16.86126,17.89861,6.95434,8.94248,7.04676,7.09824,7.50508,6.295,6.63532,7.99449,7.98986,2.52857,1.9046,2.87287,2.16127,1.76142,2.06103,2.20753,1.83696,1.80044,14.60276,14.90893,15.19998,33.04564,29.2104,37.08012,10.29701,7.63597,13.0963
"ISR",2016,80.44277,82.22431,83.91589,NA,94,95,94,57,97,97,NA,93,94,81,7.1,1.34,63.32,22.82,35.35,4.70337,1.2577,2.95035,NA,NA,9.2,17.9,5.7,11.8,17.9,0.3,120,13.3,10.8,2.4,13.3,0.1,122,2.55577,2.91286,3.27476,2.5342,3.17076,3.33451,2.93719,2.52183,2.87047,21.40794,21.94859,22.5383,23.18775,22.28911,22.16758,21.77887,22.02837,22.58192,8.1245,7.20377,9.1377,7.06269,7.28463,8.7023,10.13445,10.70714,9.03388,4.38081,3.28366,2.14118,56.24244,61.30777,51.37808,22.8003,22.10421,23.46877
"MAR",2008,71.19507,71.88491,72.57659,99,99,97,99,NA,96,NA,90,NA,99,NA,4.84,0.79,39.02,56.41,60.2,0.9139,0.12699,0.51805,NA,NA,16.9,34.6,13.9,19.9,34.6,0.8,115,32.8,19.7,12.6,32.8,0.5,115,2.82289,4.76476,6.73953,2.69096,4.80339,7.67706,5.20794,2.62806,3.84257,17.13204,16.40145,17.46534,17.62674,16.59078,14.14306,15.68196,15.67236,17.02753,5.24055,3.6638,5.93555,4.50297,3.26372,4.51143,5.31859,5.01984,4.16105,4.47871,6.13442,7.81846,44.76295,38.10541,51.30844,13.93071,8.91663,18.86041
"ISL",2014,80.64407,82.09823,83.5193,NA,90,NA,90,88,90,93,NA,90,90,NA,8.23,0,80.49,17.98,19.51,11.75397,3.52514,7.63809,NA,5.95722,3.9,14.7,4.4,10.1,14.7,0.2,121,9.9,8.4,1.5,9.9,0,123,1.32069,1.83124,2.12454,1.52492,1.67499,2.36214,2.00273,1.63037,1.50305,24.47733,21.43386,24.2727,24.16454,22.97616,21.98657,23.26852,21.62207,22.82338,7.68559,6.2293,8.76775,6.53796,6.06993,7.38338,8.48842,8.34078,7.22547,2.3885,1.64072,0.88971,57.67499,65.92853,49.45694,20.27821,21.33351,19.22745
"NGA",2001,53.23807,54.47372,55.75531,41,27,NA,NA,NA,32,NA,59,NA,36,NA,3.19,6.72,26.89,60.75,66.39,13.12835,2.74227,7.93168,NA,NA,NA,59.1,31.5,22.9,59.1,4.7,105,78.7,21.5,49.1,78.7,8.2,96,7.92188,12.69557,17.64693,7.62507,12.60019,20.7912,14.19019,7.4409,10.29178,4.19985,6.38323,3.116,2.44073,4.77376,6.61354,5.39083,6.47142,4.39009,1.56556,1.40683,1.24528,1.89437,1.10431,1.11654,0.83308,0.57627,0.83736,12.29908,12.54998,12.80192,18.86081,14.59237,23.1114,4.51995,2.52269,6.50885
"GNB",2012,54.15381,56.4729,58.69233,94,87,87,87,NA,81,NA,80,NA,87,NA,5.94,28.21,8.49,58.73,63.3,6.73892,1.34965,3.93853,NA,NA,21.8,54.2,26.2,25,54.2,3,107,72.2,24.9,42.4,72.2,4.8,100,4.30508,7.87031,11.43195,4.26187,8.7628,13.12112,8.69981,4.23475,6.55416,10.93685,9.43292,8.4898,6.94118,8.74067,8.29682,9.62881,8.99483,8.18092,3.20543,2.14126,3.63436,2.76865,1.74749,2.29602,2.44878,1.69848,1.72286,9.95881,10.53194,11.15856,23.36636,18.66311,27.6682,6.68541,4.33165,8.83828
"SYR",2005,72.13886,73.23262,74.5764,90,80,83,80,NA,81,81,92,NA,83,NA,4.11,0.16,50.35,49.5,49.5,1.95778,0.25325,1.10844,NA,NA,NA,35.5,14.7,19.8,35.5,1,114,31.4,20,11,31.4,0.4,115,4.85716,5.46046,6.55072,4.32234,5.95724,6.87665,5.48282,4.02972,5.41969,23.99263,25.37584,24.60032,24.93406,24.58056,23.0687,23.54115,24.55994,25.15035,9.88049,8.62721,10.5376,9.19286,8.31773,9.22696,9.80148,9.39722,8.86871,2.90573,3.44355,3.97982,59.54065,57.53645,61.55067,22.38038,16.25591,28.52262
"SYC",2005,68.25362,72.35776,76.66362,99,99,99,NA,NA,99,99,100,NA,99,NA,4.67,0.68,77.54,21.78,21.78,12.783,3.22049,8.08049,NA,NA,12.2,29.2,12.3,15.8,29.2,1,117,27.6,18.3,8.9,27.6,0.3,117,6.04392,6.51263,7.42561,5.54527,7.233,7.51753,6.44711,5.29686,6.64709,18.14908,23.09032,17.35061,16.96955,19.6076,19.80849,18.96674,21.99906,19.91991,8.29409,8.58922,8.60445,7.97459,8.8954,8.10862,7.65503,7.20193,8.01823,4.69599,5.60138,6.48249,51.09614,42.13079,60.30849,21.33382,12.56389,30.34535
"KHM",2000,56.77571,59.10172,61.18098,81,59,NA,NA,NA,65,NA,58,NA,62,NA,6.54,2.15,19.77,68.68,78.1,3.00462,0.69591,1.80814,NA,NA,14.7,55.4,27,25.4,55.4,3.1,107,65.9,27.1,36.1,65.9,2.6,103,7.51104,9.05386,10.74454,7.31137,9.06843,11.67256,9.47204,7.20029,8.30032,9.00454,2.77889,7.43435,6.56498,5.23819,3.32677,6.20425,2.97472,4.70209,2.36722,0.40353,4.05057,0.63747,0.2734,1.65227,2.86387,2.20682,1.25551,20.59094,17.77855,14.6957,8.24085,7.16815,9.21945,0.91595,0.64165,1.16619
"TUR",2011,73.65089,76.69523,79.54894,96,97,96,97,NA,98,86,90,96,97,NA,4.65,NA,79.13,15.9,20.87,3.76852,0.52495,2.14079,NA,11.00988,14.2,NA,12.1,18.2,31,0.7,116,NA,19,9.2,28.4,0.2,116,2.13166,2.34415,2.58551,2.09006,1.86284,2.9276,2.50985,2.07042,1.99369,23.43303,22.10331,22.78168,22.47335,22.25194,20.82807,22.16507,21.69427,22.29301,7.98914,5.9898,9.75399,6.1282,5.92444,6.88127,7.7281,6.76911,6.35746,2.76252,2.32978,1.89201,63.28142,60.79171,65.74248,28.15459,20.72739,35.49635
"JPN",2007,79.4615,82.75928,85.9025,94,98,NA,NA,NA,96,NA,NA,NA,97,NA,7.78,0,81.25,15.52,18.75,11.28823,3.08951,7.05969,1.1,NA,11,25,11.4,11.8,25,1.7,116,15.1,12.3,2.8,15.1,0,121,1.58894,2.2991,2.79739,1.77833,2.10774,3.12683,2.51161,1.86876,1.85411,19.40611,11.78406,17.54648,16.65817,15.08418,14.03295,16.7793,12.51077,14.27466,4.72187,2.43635,6.35273,3.01678,2.15923,3.92128,5.3421,4.85935,3.53896,11.71247,8.58036,5.2316,23.00745,27.39456,18.90415,3.25114,3.48711,3.03044
"AGO",2017,59.80257,62.03683,64.27575,69,56,56,56,NA,42,18,78,52,52,43,2.79,3.11,46.28,34.12,50.61,10.5982,2.93748,6.66688,NA,NA,15.5,48.9,21.1,26.4,48.9,1.4,110,62.1,28.4,32,62.1,1.7,105,5.99804,6.96152,7.78606,6.13543,5.45313,9.36816,7.79694,6.22786,5.72468,13.36911,10.91642,10.71537,8.91571,10.28834,8.29099,10.83848,9.86052,9.91675,3.92664,2.50096,5.23453,2.61005,2.42756,3.20051,3.89875,2.99289,2.71003,9.55165,10.43481,11.37125,27.19268,18.29952,35.57998,8.92534,4.36676,13.22461
"SWE",2007,78.82494,80.773,82.65763,23,98,NA,98,NA,96,95,NA,NA,98,NA,8,NA,82.52,16.34,17.48,14.82688,4.26706,9.47681,2.7,NA,4.2,17.2,5.6,11.2,17.2,0.4,120,12.1,10,2.1,12.1,0,122,0.89307,1.5913,1.96233,1.20141,1.24078,2.25345,1.79967,1.32438,1.07195,26.20126,16.9885,23.79089,22.81838,21.11123,21.57201,23.95356,18.29534,19.97088,7.03028,4.22187,8.48539,5.48853,3.71668,5.90533,7.50734,7.11273,5.45399,2.30355,1.5742,0.82224,52.27154,58.98744,45.75755,15.34991,15.54951,15.15633
"ZMB",2018,59.07181,61.41188,63.59771,91,90,90,90,NA,94,65,85,90,90,91,4.77,44.11,43.77,10.28,12.12,6.33853,1.48234,3.85176,NA,7.65707,11.5,39.2,17,20.8,39.2,1.4,114,54.9,27.1,26.3,54.9,1.5,107,3.16425,4.54726,5.47424,3.62758,3.50818,6.71225,5.30605,3.91637,3.33608,14.00095,12.85241,10.04996,7.56202,11.28182,11.94501,12.97215,12.50399,10.22285,4.91432,3.85559,5.45455,4.37495,3.53186,3.67324,3.48945,2.25202,2.89572,8.08905,8.8898,9.73378,23.55692,15.15776,31.52582,7.52446,3.07912,11.74208
"GMB",2006,59.17115,60.88523,62.68484,97,95,95,95,NA,89,NA,94,NA,94,NA,5.44,65.91,16.27,13.04,17.82,6.28125,1.25904,3.6924,NA,NA,14.1,60.3,33,22.1,60.3,5.2,104,73.6,22.9,44.2,73.6,6.6,98,8.35142,10.48381,12.44282,8.5166,9.72988,14.19222,11.40176,8.62103,9.04623,8.58268,8.57056,6.58489,5.29665,7.43711,7.85376,8.22117,8.2929,6.93646,2.5818,2.152,2.70525,2.45632,1.9596,1.97106,1.79088,1.20126,1.58109,14.13124,16.05365,18.11185,20.56245,16.00736,24.81701,5.64495,3.09095,8.03045
"COD",2012,56.57589,58.34046,60.13749,83,71,71,71,NA,69,NA,70,23,69,NA,3.22,37.64,16.13,40.28,46.23,4.0999,1.04607,2.54645,NA,12.39511,11,50.7,24.4,23.5,50.7,2.7,109,68.4,24.9,39.4,68.4,4.1,102,5.05534,8.7319,12.08067,5.38033,9.35513,13.84244,9.72019,5.59087,7.20468,11.97452,9.17541,9.31899,7.60246,9.42103,10.05992,11.01697,9.52315,8.38826,3.59381,2.75782,3.37052,3.81698,2.07165,2.59272,2.42777,1.81837,1.9449,15.29561,17.23558,19.25396,14.76444,10.70477,18.66637,3.75412,2.4205,5.03591
"IRL",2005,76.51063,78.82008,81.09647,31,90,NA,90,NA,84,NA,NA,NA,90,NA,7.64,NA,78.87,13.55,21.13,21.75948,6.66406,14.14072,NA,NA,5,16.4,5.3,10.7,16.4,0.4,120,11.9,9.5,2.3,11.9,0.1,122,0.70304,0.889,1.00028,0.77181,0.80078,1.09987,0.95657,0.80595,0.75326,28.72962,29.96056,27.44021,26.79657,28.75837,30.52098,29.60045,30.14645,28.33918,8.9875,8.90666,8.58871,9.40904,8.65731,8.59619,8.30136,8.15791,8.40139,1.32271,1.01423,0.6988,61.69401,69.04849,54.50152,22.62031,23.59058,21.67142
"AFG",2013,59.95228,60.43498,61.00437,72,64,64,64,NA,57,38,65,NA,63,NA,8.81,22.92,5.03,72.05,72.05,0.00641,0.00085,0.00362,NA,NA,NA,37.9,16.3,20.4,37.9,1.2,114,43.5,23.8,18,43.5,1.6,111,6.28905,10.95908,14.5977,7.13383,13.42146,15.31693,11.57573,7.64839,9.94869,12.20966,12.89484,13.16126,13.74312,12.79757,11.62784,11.92637,12.41523,13.32927,4.8002,3.98924,4.6728,4.93447,3.41349,4.14951,4.30196,4.07521,3.75238,11.46652,11.12906,10.78795,31.09295,29.75775,32.41385,9.73892,7.91113,11.54711
"SDN",2018,68.1422,69.24814,70.32649,88,93,93,93,NA,88,72,80,93,93,94,4.46,6.41,23.28,66.95,70.31,0.00892,0.00128,0.00506,NA,NA,NA,37,15,21.1,37,0.9,114,50.9,23.7,25.3,50.9,2,108,9.97489,14.30288,17.36091,11.17578,11.17008,21.23621,16.62659,11.9232,10.58021,19.74534,9.01871,15.1199,12.2245,11.93868,8.15038,14.02283,8.68559,10.63775,6.25708,3.23657,8.78725,3.66063,2.97263,4.83445,6.39703,4.90081,3.94643,15.18909,15.98824,16.80723,32.62086,25.78446,39.29152,12.90614,7.7979,17.89055
"TTO",2002,68.16463,71.08783,73.97796,NA,96,5,59,NA,87,77,NA,NA,96,NA,4.72,0.13,41.63,52.29,58.24,8.42517,2.12761,5.21822,NA,NA,15.2,24.4,9.6,14,24.4,0.7,119,30.4,19.2,10.7,30.4,0.5,116,8.89014,10.89161,12.68311,9.04713,12.05963,12.92211,11.04094,9.10699,10.50102,15.53818,19.25653,17.74347,18.58881,17.83208,14.42672,14.99161,17.9233,18.91805,6.79436,6.62928,7.71495,5.84291,6.92912,7.20244,7.75913,7.77606,7.35845,7.36217,6.63761,5.88135,50.94059,46.61337,55.08641,20.64403,15.42448,25.64478
"TKM",2013,65.53547,69.11794,72.64128,98,98,98,97,NA,99,99,NA,NA,98,NA,3.94,0.16,28.54,66.85,71.3,5.54788,0.93174,3.17834,NA,NA,4.8,27.9,10.7,16.7,27.9,0.5,117,30.9,17.6,12.7,30.9,0.6,116,5.00466,4.60592,4.74797,4.45734,3.85908,5.19767,4.7008,4.18211,4.41783,14.1694,12.10129,15.26817,15.82404,13.65841,11.72253,12.97595,11.97456,14.00265,3.31952,1.79607,4.09292,2.50726,1.43845,2.4113,2.99946,2.44627,1.95318,4.74127,3.67349,2.53753,47.85913,51.29199,44.6323,15.34854,12.40702,18.11352
"PHL",2003,65.68671,69.52482,73.8967,86,84,52,NA,NA,87,NA,56,NA,85,NA,3.08,3.37,36.22,47.7,60.41,9.26207,2.25759,5.76274,NA,NA,20.8,41.1,19.3,19.5,41.1,2.3,112,31.8,19,11.2,31.8,1.6,114,7.23386,10.09018,11.92801,8.15887,8.59356,13.85181,11.32241,8.68256,7.93465,5.84523,6.24866,5.46066,5.23878,5.78123,5.88751,5.86572,6.11811,5.73293,2.26385,1.42023,2.6397,1.8641,1.16894,1.67186,1.91131,1.49106,1.33344,15.25149,13.85161,12.44886,21.07382,18.11639,24.02517,3.72183,2.54483,4.89641
"BGR",2016,71.27509,74.77318,78.38294,96,92,91,92,3,92,88,NA,90,92,NA,7.46,NA,55.13,43.25,44.87,19.07355,4.79033,11.6457,NA,7.61754,11.2,25.6,9.6,15.6,25.6,0.5,118,23.6,16.8,6.7,23.6,0.2,118,2.96893,3.16278,3.39762,2.91475,2.49413,3.91445,3.41308,2.88379,2.72495,33.40298,20.52825,30.12801,28.25461,26.97743,29.11371,31.31778,23.64988,24.4961,14.04044,8.81291,16.04005,11.92684,7.03385,10.64925,12.38793,10.29879,8.71055,3.88331,2.60574,1.21575,56.91724,63.12512,51.21145,21.8189,22.94986,20.77942
"POL",2018,73.73562,77.56054,81.36355,91,95,91,95,NA,93,92,NA,60,87,NA,6.31,0.06,71.09,20.79,28.86,18.67462,5.15442,11.62513,NA,7.19096,5.7,NA,7.7,13.5,21.5,0.3,120,NA,13.1,4.2,17.4,0.1,120,2.95186,2.87302,2.82811,2.92036,2.46154,3.02745,2.96696,2.90329,2.7,27.86759,19.21982,25.51684,24.23848,23.15183,23.31617,25.65406,20.65954,21.79337,9.34816,5.20737,11.7142,6.84918,4.31762,7.14678,8.98716,7.50415,5.95166,2.73194,1.85423,0.89339,66.19992,74.54496,58.57686,28.91616,30.35856,27.59855
"DOM",2005,70.23873,72.80023,75.60476,96,87,87,87,NA,79,NA,75,NA,86,NA,4.35,1.7,32,53.88,66.31,10.93703,2.89422,6.96088,NA,NA,11,33.5,14.3,17.9,33.5,1.2,115,32.3,19.6,12.1,32.3,0.7,115,4.16218,4.29756,4.55902,4.02709,3.93672,4.88145,4.42641,3.95817,4.04697,17.66646,21.0426,16.98688,16.63478,18.51796,18.2575,17.95547,20.10172,18.80719,8.30742,6.93018,8.55489,8.04881,6.35948,6.7406,6.55733,5.52236,5.93494,5.06926,5.25851,5.44351,46.36006,41.45997,51.37253,16.80213,12.84945,20.84548
"PRT",2011,77.05215,80.24006,83.26581,97,97,97,97,89,97,96,NA,NA,97,NA,9.73,0.05,64.51,26.65,35.44,17.45594,4.98136,10.86286,NA,7.78896,8.3,19,6.5,12.1,19,0.4,119,12.6,10.2,2.3,12.6,0,122,0.69184,1.17385,1.35148,0.98772,0.83444,1.59528,1.36571,1.12589,0.76505,36.15526,24.4158,29.40306,26.21909,28.62257,35.06187,35.62315,27.80471,25.33712,13.66012,8.40369,14.93309,12.31736,6.57611,9.75061,11.03601,9.19835,7.91584,1.87989,1.44262,0.94946,60.86651,64.3981,57.73516,21.86346,20.1779,23.358
"GMB",2008,59.80378,61.5017,63.27633,95,96,98,97,NA,92,NA,91,NA,96,NA,4.66,62.66,15.64,16.44,21.7,5.87687,1.16759,3.45338,NA,NA,13.9,59.8,32.3,22.6,59.8,4.9,105,72.5,23.7,42.9,72.5,5.9,99,8.32589,10.27746,12.0468,8.49139,9.36813,13.77491,11.19151,8.59679,8.85151,9.3981,8.99743,7.24484,5.85567,7.97683,8.27348,8.84065,8.71576,7.42312,2.84943,2.33366,3.03839,2.65717,2.12762,2.17994,2.02766,1.3756,1.75079,13.60446,15.24643,16.99968,23.02306,18.47998,27.27777,6.50953,3.69684,9.14369
"RUS",2013,65.05192,70.69584,76.25485,96,97,97,NA,NA,98,97,NA,NA,98,NA,5.08,NA,62.38,34.83,37.62,21.98206,5.24701,12.84129,1.7,5.80634,7.3,23.1,8.4,14.3,23.1,0.4,119,22.7,15.8,6.8,22.7,0.2,118,3.70886,3.44807,3.3791,3.52042,3.46085,3.33444,3.37493,3.41742,3.58192,31.52546,13.34162,22.60218,17.72768,19.69512,22.69069,27.21269,16.6458,15.58727,11.8013,4.78446,15.35141,8.07896,2.98367,6.97474,9.06283,5.62758,4.33734,3.69779,2.86519,1.85458,58.85242,59.04176,58.69643,24.96715,19.45787,29.50606
"CAN",2004,77.51004,79.85004,82.07825,NA,91,14,91,NA,94,NA,NA,NA,91,NA,9.07,0,73.06,15.29,26.94,15.16806,4.21101,9.60059,2.1,NA,5.9,14.8,4.5,10,14.8,0.3,121,10.3,8.4,1.8,10.3,0.1,123,0.73051,1.17988,1.33642,1.01508,0.88835,1.53512,1.34377,1.14197,0.81131,27.52729,27.12547,30.38477,31.65197,28.47585,24.98771,26.28772,26.46619,29.44883,8.9398,7.70575,11.06076,6.71542,8.14736,10.02871,12.23522,12.75605,10.5129,2.55908,1.71533,0.8396,59.09315,65.86969,52.56407,23.08725,23.63248,22.56192
"ISL",2021,81.32974,82.57767,83.88967,NA,92,NA,92,90,92,10,NA,92,92,NA,9.73,0,83.67,14.65,16.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.40706,2.06177,2.45999,1.64541,1.93477,2.71175,2.24831,1.76139,1.67545,25.64945,22.39162,25.57498,25.53929,24.09338,22.85817,24.27778,22.54433,24.00434,8.7454,7.06191,10.07697,7.36728,6.91331,8.48942,9.85478,9.74827,8.36581,2.49393,1.72934,1.00146,59.37207,67.7565,50.56487,22.21003,23.94567,20.38688
"BHR",2002,69.84981,70.59694,71.79491,NA,98,98,98,NA,99,97,94,NA,98,NA,3.68,0,71.25,26.95,28.75,3.69478,0.58892,2.50524,NA,NA,10.4,37.2,15,21.5,37.2,0.8,114,25.1,17.7,7.2,25.1,0.2,117,5.50068,6.84795,7.86994,5.69498,8.61577,7.45421,6.68539,5.8071,7.13487,20.32092,30.53203,24.24057,26.42541,25.41324,20.15814,20.24354,26.73621,28.34225,9.66031,11.00855,10.7985,8.4043,12.5113,11.24328,11.45135,11.81526,12.14015,3.88902,4.15739,4.32035,57.68117,56.20892,60.10568,25.31652,21.74657,31.19552
"TGO",2008,56.01688,57.96843,60.11705,92,81,24,24,NA,63,NA,81,NA,80,NA,3.84,10.78,15.96,65.99,73.26,3.20447,0.73942,1.96587,NA,NA,15.5,55.7,27.7,24.6,55.7,3.4,107,74.1,24.9,44.2,74.1,5,99,3.63174,6.77407,9.92112,3.58158,7.56718,11.36742,7.48781,3.55073,5.61298,10.11159,11.71077,7.67799,6.18274,9.51698,10.84882,10.47768,11.38253,8.92644,2.87339,1.84527,3.35545,2.38466,1.51354,1.98709,2.12689,1.37204,1.44227,9.75239,9.88186,10.013,19.28897,14.88793,23.63416,5.11447,2.60462,7.59247
"CRI",2021,75.87686,78.63053,81.50603,88,93,87,92,57,89,69,NA,87,92,85,7.57,0.05,70.01,20.74,29.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.96429,2.70703,3.13675,2.25825,2.01748,3.67794,3.05316,2.4005,1.99145,34.06787,35.30473,32.67493,32.00142,33.34473,31.4393,32.78177,34.04424,33.61703,14.39437,12.81226,15.69329,13.03852,12.70278,13.4201,14.00213,13.18443,12.94886,1.93547,2.25628,2.58109,67.30094,61.78512,72.74885,31.21397,24.55065,37.79526
"ETH",2009,60.78003,62.16371,63.58971,74,58,56,56,NA,59,NA,88,NA,65,NA,4.65,33.59,19.51,41.54,46.9,2.70637,0.47922,1.58904,NA,NA,NA,29.9,13.8,14.5,29.9,1.6,118,52.6,21.6,27.5,52.6,3.4,107,9.08406,17.80468,23.7343,11.66414,13.17459,30.31072,21.94529,13.27467,11.16362,4.18738,3.40231,2.49369,1.43888,2.97914,3.6093,3.90319,3.48186,2.40301,1.55078,0.87482,1.56461,1.53647,0.46181,0.8396,0.80559,0.33288,0.39619,24.20094,26.27515,28.37613,6.0847,4.36262,7.78484,1.01187,0.4224,1.59384
"EST",2016,73.21819,77.71059,81.73095,95,93,93,93,NA,93,92,NA,NA,93,85,6.7,0.18,74.41,23.79,25.41,22.79287,6.35571,13.92479,2.1,5.89354,4.2,23.1,8.3,14.4,23.1,0.4,119,17.7,14,3.7,17.7,0,120,1.80564,1.81484,1.71633,1.91893,1.44623,1.88163,1.93357,1.98853,1.6212,28.49782,21.24948,27.83116,27.42316,24.95015,22.97492,25.80914,21.90608,24.42349,9.94551,6.41802,11.96955,7.81191,5.56174,8.67544,10.81195,10.1035,7.89674,2.36716,1.68266,0.87468,60.8118,65.5512,56.79667,25.13918,23.25771,26.73313
