Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
  Eastern Asia,856.13981,896.98269,907.49311,954.92462,984.4642,1102.10147,1159.49222,1256.47838,1313.70175,1368.61794,1414.57728,1492.1896,1550.32251,1605.62798,1652.70182,1696.6876,1742.15512,1784.70414,1872.64045,2034.14384,2149.93653,2249.9251,
  South-Eastern Asia,280.91045,288.51173,307.86046,331.44863,355.32029,376.17629,389.92581,417.03025,437.06499,481.54654,530.82727,566.59173,611.5313,651.41508,669.18257,667.86818,713.19901,743.26361,791.29329,841.03435,842.74151,812.07631,
  Latin America and the Caribbean,240.79858,255.93234,290.60027,304.51472,338.76757,359.14989,363.22755,375.77982,393.43826,412.92379,433.20453,458.78759,462.38333,482.59213,501.66255,529.46823,575.76925,583.63985,605.13041,608.8138,623.47127,625.35588,
  Oceania,2484.70169,2585.41085,2688.88304,2802.06635,2892.21504,2942.04556,3009.72785,3053.65688,3098.38313,3167.22378,3215.63584,3332.03419,3469.37277,3469.54027,3533.5983,3546.9074,3456.98512,3421.9255,3445.07712,3441.25398,3367.78399,3324.46003,
  Australia and New Zealand,3320.94587,3473.05061,3628.90069,3797.28936,3934.24033,4020.52596,4128.80083,4201.88617,4273.22521,4377.04656,4454.20247,4631.42429,4837.5571,4847.71215,4948.09953,4976.42911,4856.40059,4812.07203,4850.1384,4848.78832,4746.72045,4695.85642,
  Europe and Northern America,2767.29504,2820.1013,2865.52084,2965.21884,2974.23329,3008.14373,3063.98523,3093.95465,3174.44597,3221.07149,3202.11502,3266.01677,3308.31395,3378.32336,3439.02471,3523.38273,3536.44671,3643.60585,3816.5247,3896.47142,3971.22555,4049.7192,
  Europe,2460.54987,2510.82299,2554.3718,2606.34855,2664.01316,2734.48016,2794.2205,2844.15043,2901.11141,2927.2539,2987.67765,3025.05825,3098.5929,3163.75483,3212.24497,3319.84586,3364.81231,3464.79641,3572.60203,3662.84499,3700.01547,3816.56734,
  Northern America ,3483.18909,3534.04447,3576.03743,3777.27826,3670.20474,3616.79353,3658.77269,3640.1642,3767.72902,3854.25715,3660.96939,3778.09321,3750.81657,3827.79965,3910.61041,3943.76038,3888.67315,4008.06111,4310.37676,4366.53201,4513.68419,4513.88898,
UIS Regions,,,,,,,,,,,,,,,,,,,,,,,
  World,804.65865,820.96919,831.25985,858.71747,868.5863,902.39867,923.90399,951.78778,976.16665,998.77568,1009.79716,1041.11893,1066.34118,1093.8183,1118.29383,1143.08011,1164.61254,1195.1174,1244.70302,1294.48198,1326.85573,1352.49955,
  Arab States,395.62188,390.14265,389.2893,378.16904,377.6819,378.57636,389.34094,394.85779,359.62827,376.6525,398.43143,416.96165,443.52965,474.36716,526.97161,538.04291,564.964,569.15745,567.39362,599.67075,601.92507,629.79235,
  Central and Eastern Europe,1957.62458,1946.86303,1920.43384,1932.77206,1934.74776,1949.30255,1952.00956,1993.03525,1970.86414,1957.96813,1986.77468,2013.72501,2039.21847,2054.89356,2072.82248,2101.18705,2083.19801,2134.5507,2200.20097,2219.27529,2266.2489,2332.30779,
  Central Asia,592.4041,592.43545,590.67032,576.06456,577.01714,589.09238,563.40929,532.42324,535.04835,528.97742,513.19731,529.85905,590.7176,617.96894,632.44111,632.00756,606.66233,585.47429,580.41054,628.26189,641.50829,662.43347,
  East Asia and the Pacific,727.96944,760.06652,773.74333,815.13182,843.45746,933.13438,978.01298,1054.20941,1100.19848,1151.81399,1198.0866,1263.92246,1318.91141,1368.32196,1406.70675,1436.64882,1479.00023,1515.86346,1590.51329,1715.81471,1793.7816,1851.08244,
  Latin America and the Caribbean,240.82125,255.95351,290.61685,304.53067,338.77894,359.15869,363.23589,375.78727,393.45028,412.96522,433.24146,458.82333,462.41618,482.60836,501.67652,529.48329,575.77973,583.65112,605.14232,608.82277,623.4793,625.3635,
  North America and Western Europe,3049.69035,3127.60345,3204.86391,3348.97518,3356.03613,3397.49153,3474.38626,3498.1213,3622.66107,3696.39086,3657.32366,3738.0735,3801.48121,3895.32886,3966.18488,4069.77708,4097.89816,4230.15237,4451.29541,4559.51401,4651.79884,4745.77224,
  South and West Asia,117.87551,121.40166,124.91375,128.23901,131.85155,138.39577,148.49476,156.46763,160.40383,162.0616,165.5689,172.23066,180.45212,188.97006,206.99266,225.52134,251.50944,277.29272,292.84363,303.18463,308.94516,311.19348,
  Sub-Saharan Africa,62.47925,65.0639,63.89645,64.87437,70.50622,70.53606,69.22891,67.51704,73.20888,77.59352,80.58541,82.82434,84.57043,87.09663,88.61756,92.83121,94.74362,97.98991,97.60634,96.68346,95.0988,94.37717,
  Small Island Developing States,505.32199,509.37128,534.78087,556.13672,578.40093,625.33538,644.69513,675.54893,683.55073,726.57138,743.13145,763.58776,760.90398,793.84907,798.96926,833.93938,865.02168,857.13231,863.48188,908.88323,934.19939,931.17145,
  Low income countries,103.20232,107.59934,110.50518,115.05562,117.95885,126.17627,127.68963,130.92749,132.58683,138.46506,145.25571,147.26116,149.11287,150.92338,155.06375,158.56041,165.19514,170.43873,174.51142,176.76931,176.03152,176.19841,
  Lower middle income countries,173.30918,172.98306,173.94134,175.83163,180.05923,186.22567,191.98323,197.12223,197.20528,200.86994,207.07292,214.36716,225.18143,237.16656,251.06325,261.96931,282.35026,298.89992,309.5275,318.34449,321.51138,322.50614,
  Middle income countries,355.17292,360.55086,369.03749,377.47141,389.28421,416.11209,431.26261,461.33201,480.02807,499.52277,516.45689,544.65787,567.34639,590.2209,606.27058,630.22387,656.43771,671.92402,703.62153,752.65724,782.40826,798.10677,
  Upper middle income countries,525.29157,537.79449,555.28768,571.76869,592.86944,641.92446,668.37548,725.50659,765.19441,802.89939,833.15187,885.4203,923.14751,959.72135,980.78409,1021.20731,1056.44277,1073.73363,1131.23596,1227.75776,1290.77707,1327.73922,
  High income countries,2947.65561,3033.49302,3074.62219,3212.4126,3236.62988,3330.12649,3405.8637,3450.39738,3523.63961,3582.94209,3588.31739,3668.56751,3737.69878,3820.85682,3917.18635,3980.89285,4012.11356,4150.19862,4332.22794,4435.99109,4525.29044,4650.31329,
